,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1944000000.0,1815000000.0,1699000000.0,1579000000.0,
Repurchase Of Capital Stock,-3182000000.0,-2893000000.0,-2338000000.0,-1590000000.0,
Repayment Of Debt,-1916000000.0,-330000000.0,-183000000.0,-48000000.0,
Issuance Of Debt,2875000000.0,2283000000.0,609000000.0,23000000.0,
Capital Expenditure,-185000000.0,-198000000.0,-247000000.0,-102000000.0,
Interest Paid Supplemental Data,648000000.0,562000000.0,492000000.0,385000000.0,
Income Tax Paid Supplemental Data,523000000.0,492000000.0,478000000.0,389000000.0,
End Cash Position,970000000.0,1376000000.0,875000000.0,1286000000.0,
Beginning Cash Position,1376000000.0,875000000.0,1286000000.0,1512000000.0,
Effect Of Exchange Rate Changes,3000000.0,-21000000.0,-12000000.0,-19000000.0,
Changes In Cash,-409000000.0,522000000.0,-399000000.0,-207000000.0,
Financing Cash Flow,-2348000000.0,-1045000000.0,-2040000000.0,-1765000000.0,
Cash Flow From Continuing Financing Activities,-2348000000.0,-1045000000.0,-2040000000.0,-1765000000.0,
Net Other Financing Charges,-58000000.0,-48000000.0,-21000000.0,-56000000.0,
Proceeds From Stock Option Exercised,76000000.0,93000000.0,51000000.0,29000000.0,
Cash Dividends Paid,-143000000.0,-150000000.0,-158000000.0,-123000000.0,
Common Stock Dividend Paid,-143000000.0,-150000000.0,-158000000.0,-123000000.0,
Net Common Stock Issuance,-3182000000.0,-2893000000.0,-2338000000.0,-1590000000.0,
Common Stock Payments,-3182000000.0,-2893000000.0,-2338000000.0,-1590000000.0,
Net Issuance Payments Of Debt,959000000.0,1953000000.0,426000000.0,-25000000.0,
Net Long Term Debt Issuance,959000000.0,1953000000.0,426000000.0,-25000000.0,
Long Term Debt Payments,-1916000000.0,-330000000.0,-183000000.0,-48000000.0,
Long Term Debt Issuance,2875000000.0,2283000000.0,609000000.0,23000000.0,
Investing Cash Flow,-190000000.0,-446000000.0,-305000000.0,-123000000.0,
Cash Flow From Continuing Investing Activities,-190000000.0,-446000000.0,-305000000.0,-123000000.0,
Net Other Investing Changes,-3000000.0,,-17000000.0,-47000000.0,27000000.0
Net Investment Purchase And Sale,5000000.0,-7000000.0,-26000000.0,79000000.0,
Sale Of Investment,5000000.0,,,,
Purchase Of Investment,,-7000000.0,-26000000.0,,
Net Business Purchase And Sale,-7000000.0,-241000000.0,-15000000.0,-53000000.0,
Purchase Of Business,-7000000.0,-241000000.0,-15000000.0,-53000000.0,
Capital Expenditure Reported,-185000000.0,-198000000.0,-247000000.0,-102000000.0,
Operating Cash Flow,2129000000.0,2013000000.0,1946000000.0,1681000000.0,
Cash Flow From Continuing Operating Activities,2129000000.0,2013000000.0,1946000000.0,1681000000.0,
Change In Working Capital,525000000.0,504000000.0,880000000.0,179000000.0,
Change In Other Working Capital,542000000.0,330000000.0,215000000.0,174000000.0,
Change In Other Current Liabilities,-117000000.0,184000000.0,621000000.0,20000000.0,
Change In Other Current Assets,10000000.0,5000000.0,16000000.0,78000000.0,
Change In Payables And Accrued Expense,212000000.0,155000000.0,181000000.0,198000000.0,
Change In Payable,212000000.0,155000000.0,181000000.0,198000000.0,
Change In Account Payable,212000000.0,155000000.0,181000000.0,198000000.0,
Change In Prepaid Assets,-23000000.0,-67000000.0,-27000000.0,-21000000.0,
Change In Receivables,-99000000.0,-103000000.0,-126000000.0,-270000000.0,
Changes In Account Receivables,-99000000.0,-103000000.0,-126000000.0,-270000000.0,
Other Non Cash Items,-279000000.0,-112000000.0,-283000000.0,-108000000.0,
Stock Based Compensation,170000000.0,176000000.0,169000000.0,162000000.0,
Asset Impairment Charge,0.0,0.0,38000000.0,0.0,
Deferred Tax,64000000.0,-247000000.0,-264000000.0,34000000.0,
Deferred Income Tax,64000000.0,-247000000.0,-264000000.0,34000000.0,
Depreciation Amortization Depletion,177000000.0,146000000.0,147000000.0,162000000.0,
Depreciation And Amortization,177000000.0,146000000.0,147000000.0,162000000.0,
Operating Gains Losses,11000000.0,7000000.0,108000000.0,-5000000.0,
Earnings Losses From Equity Investments,0.0,0.0,92000000.0,0.0,
Net Foreign Currency Exchange Gain Loss,11000000.0,12000000.0,16000000.0,-5000000.0,
Net Income From Continuing Operations,1461000000.0,1539000000.0,1151000000.0,1257000000.0,
