,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,228389000.0,406194000.0,400742000.0,412265000.0,353885000.0
Repurchase Of Capital Stock,-741796000.0,-686665000.0,-443259000.0,-553796000.0,-338954000.0
Capital Expenditure,-197455000.0,-163486000.0,-160585000.0,-144810000.0,-172885000.0
Income Tax Paid Supplemental Data,104477000.0,39677000.0,270573000.0,8754000.0,124309000.0
End Cash Position,385909000.0,729636000.0,875228000.0,756123000.0,778379000.0
Beginning Cash Position,729636000.0,875228000.0,756123000.0,778379000.0,726516000.0
Effect Of Exchange Rate Changes,-229000.0,599000.0,-550000.0,-236000.0,-140000.0
Changes In Cash,-343498000.0,-146191000.0,119655000.0,-22020000.0,52003000.0
Financing Cash Flow,-741596000.0,-700468000.0,-443660000.0,-585174000.0,-338735000.0
Cash Flow From Continuing Financing Activities,-741596000.0,-700468000.0,-443660000.0,-585174000.0,-338735000.0
Net Other Financing Charges,200000.0,-13803000.0,-401000.0,-31378000.0,219000.0
Net Common Stock Issuance,-741796000.0,-686665000.0,-443259000.0,-553796000.0,-338954000.0
Common Stock Payments,-741796000.0,-686665000.0,-443259000.0,-553796000.0,-338954000.0
Investing Cash Flow,-27746000.0,-15403000.0,1988000.0,6079000.0,-136032000.0
Cash Flow From Continuing Investing Activities,-27746000.0,-15403000.0,1988000.0,6079000.0,-136032000.0
Net Investment Purchase And Sale,169709000.0,148083000.0,162573000.0,150889000.0,16740000.0
Sale Of Investment,182212000.0,157302000.0,165073000.0,154889000.0,174567000.0
Purchase Of Investment,-12503000.0,-9219000.0,-2500000.0,-4000000.0,-157827000.0
Net PPE Purchase And Sale,-197455000.0,-163486000.0,-160585000.0,-144810000.0,-152772000.0
Purchase Of PPE,-197455000.0,-163486000.0,-160585000.0,-144810000.0,-172885000.0
Operating Cash Flow,425844000.0,569680000.0,561327000.0,557075000.0,526770000.0
Cash Flow From Continuing Operating Activities,425844000.0,569680000.0,561327000.0,557075000.0,526770000.0
Change In Working Capital,4393000.0,-32723000.0,-12526000.0,47355000.0,103625000.0
Change In Other Working Capital,82527000.0,-26954000.0,-121364000.0,82376000.0,83621000.0
Change In Other Current Liabilities,-85646000.0,-65366000.0,-56748000.0,-54660000.0,-59015000.0
Change In Other Current Assets,96398000.0,80537000.0,77994000.0,72601000.0,74715000.0
Change In Payables And Accrued Expense,-817000.0,-19041000.0,83785000.0,-93988000.0,67604000.0
Change In Accrued Expense,35936000.0,-35985000.0,84633000.0,-107196000.0,81427000.0
Change In Payable,-36753000.0,16944000.0,-848000.0,13208000.0,-13823000.0
Change In Account Payable,-36753000.0,16944000.0,-848000.0,13208000.0,-13823000.0
Change In Prepaid Assets,-23586000.0,-5850000.0,6142000.0,-9748000.0,-12700000.0
Change In Inventory,-3118000.0,-6085000.0,958000.0,7535000.0,743000.0
Change In Receivables,-61365000.0,10036000.0,-3293000.0,43239000.0,-51343000.0
Changes In Account Receivables,-61365000.0,10036000.0,-3293000.0,43239000.0,-51343000.0
Other Non Cash Items,-22232000.0,-51000.0,6708000.0,914000.0,-5931000.0
Stock Based Compensation,25577000.0,18816000.0,37549000.0,37601000.0,45827000.0
Provisionand Write Offof Assets,969000.0,-379000.0,47000.0,-1294000.0,504000.0
Asset Impairment Charge,8305000.0,7215000.0,5038000.0,6018000.0,443000.0
Deferred Tax,-14802000.0,104175000.0,-2561000.0,-7329000.0,-33338000.0
Deferred Income Tax,-14802000.0,104175000.0,-2561000.0,-7329000.0,-33338000.0
Depreciation Amortization Depletion,92702000.0,90524000.0,90945000.0,87211000.0,83876000.0
Depreciation And Amortization,92702000.0,90524000.0,90945000.0,87211000.0,83876000.0
Net Income From Continuing Operations,330932000.0,382103000.0,436127000.0,386599000.0,331764000.0
