,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,19235000000.0,12543000000.0,12961000000.0,12646000000.0,
Repurchase Of Capital Stock,,-9103000000.0,-11291000000.0,-13328000000.0,-4672000000.0
Repayment Of Debt,-5740000000.0,-3573000000.0,-9190000000.0,-2307000000.0,
Issuance Of Debt,3494000000.0,6268000000.0,6052000000.0,2745000000.0,
Capital Expenditure,-14408000000.0,-15130000000.0,-15540000000.0,-13767000000.0,
Interest Paid Supplemental Data,3871000000.0,3657000000.0,3711000000.0,3413000000.0,
Income Tax Paid Supplemental Data,755000000.0,7096000000.0,5107000000.0,5265000000.0,
End Cash Position,10559000000.0,7377000000.0,6282000000.0,4782000000.0,
Beginning Cash Position,7377000000.0,6282000000.0,4782000000.0,8778000000.0,
Effect Of Exchange Rate Changes,42000000.0,-26000000.0,9000000.0,-86000000.0,
Changes In Cash,3140000000.0,1121000000.0,1491000000.0,-3910000000.0,
Financing Cash Flow,-14346000000.0,-10883000000.0,-19850000000.0,-16184000000.0,
Cash Flow From Continuing Financing Activities,-14345000000.0,-10883000000.0,-19850000000.0,-16185000000.0,
Net Other Financing Charges,-51000000.0,339000000.0,5000000.0,787000000.0,
Proceeds From Stock Option Exercised,-7155000000.0,-9103000000.0,-11291000000.0,-13328000000.0,
Cash Dividends Paid,-4894000000.0,-4814000000.0,-4766000000.0,-4741000000.0,
Common Stock Dividend Paid,-4894000000.0,-4814000000.0,-4766000000.0,-4741000000.0,
Net Common Stock Issuance,,-9103000000.0,-11291000000.0,-13328000000.0,-4672000000.0
Common Stock Payments,,-9103000000.0,-11291000000.0,-13328000000.0,-4672000000.0
Net Issuance Payments Of Debt,-2246000000.0,2695000000.0,-3798000000.0,1098000000.0,
Net Short Term Debt Issuance,0.0,0.0,-660000000.0,660000000.0,
Net Long Term Debt Issuance,-2246000000.0,2695000000.0,-3138000000.0,438000000.0,
Long Term Debt Payments,-5740000000.0,-3573000000.0,-9190000000.0,-2307000000.0,
Long Term Debt Issuance,3494000000.0,6268000000.0,6052000000.0,2745000000.0,
Investing Cash Flow,-16157000000.0,-15670000000.0,-7161000000.0,-14140000000.0,
Cash Flow From Continuing Investing Activities,-16158000000.0,-15670000000.0,-7161000000.0,-14140000000.0,
Net Other Investing Changes,200000000.0,6000000.0,558000000.0,246000000.0,
Net Investment Purchase And Sale,-1302000000.0,-1082000000.0,7297000000.0,-2274000000.0,
Sale Of Investment,0.0,0.0,8610000000.0,0.0,
Purchase Of Investment,-1302000000.0,-1082000000.0,-1313000000.0,-2274000000.0,
Net Investment Properties Purchase And Sale,,,,0.0,0.0
Purchase Of Investment Properties,,,,0.0,0.0
Net Business Purchase And Sale,-647000000.0,536000000.0,524000000.0,1655000000.0,
Sale Of Business,670000000.0,771000000.0,661000000.0,1985000000.0,
Purchase Of Business,-1317000000.0,-235000000.0,-137000000.0,-330000000.0,
Net Intangibles Purchase And Sale,-2658000000.0,-2949000000.0,-3298000000.0,-3141000000.0,
Purchase Of Intangibles,-2658000000.0,-2949000000.0,-3298000000.0,-3141000000.0,
Capital Expenditure Reported,-11750000000.0,-12181000000.0,-12242000000.0,-10626000000.0,
Operating Cash Flow,33643000000.0,27673000000.0,28501000000.0,26413000000.0,
Cash Flow From Continuing Operating Activities,33644000000.0,27674000000.0,28501000000.0,26413000000.0,
Change In Working Capital,2177000000.0,-4943000000.0,1008000000.0,-2904000000.0,
Change In Other Working Capital,1994000000.0,-4611000000.0,2784000000.0,-1623000000.0,
Change In Other Current Assets,338000000.0,290000000.0,-260000000.0,-451000000.0,
Change In Payables And Accrued Expense,-20000000.0,-758000000.0,-520000000.0,497000000.0,
Change In Receivables,-135000000.0,136000000.0,-996000000.0,-1327000000.0,
Other Non Cash Items,487000000.0,463000000.0,316000000.0,309000000.0,
Stock Based Compensation,1288000000.0,1288000000.0,1241000000.0,1336000000.0,
Asset Impairment Charge,,0.0,0.0,8583000000.0,0.0
Deferred Tax,2674000000.0,-902000000.0,-2739000000.0,-834000000.0,
Deferred Income Tax,2674000000.0,-902000000.0,-2739000000.0,-834000000.0,
Depreciation Amortization Depletion,16210000000.0,14802000000.0,14336000000.0,13821000000.0,
Depreciation And Amortization,16210000000.0,14802000000.0,14336000000.0,13821000000.0,
Amortization Cash Flow,6884000000.0,6072000000.0,5482000000.0,,
Amortization Of Intangibles,6884000000.0,6072000000.0,5482000000.0,,
Depreciation,9327000000.0,8729000000.0,8854000000.0,,13804000000.0
Operating Gains Losses,-8853000000.0,1088000000.0,-768000000.0,1177000000.0,
Net Income From Continuing Operations,19660000000.0,15877000000.0,15107000000.0,4925000000.0,
