,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,250150000.0,249343882.0,251008000.0,252315000.0,261548000.0
Share Issued,250150000.0,249343882.0,251008000.0,252315000.0,261548000.0
Net Debt,,737000000.0,366000000.0,,
Total Debt,1950000000.0,1951000000.0,1953000000.0,1951000000.0,1949000000.0
Tangible Book Value,545000000.0,367000000.0,422000000.0,717000000.0,1716000000.0
Invested Capital,8037000000.0,7885000000.0,7966000000.0,8270000000.0,9295000000.0
Working Capital,-328000000.0,-524000000.0,-495000000.0,-183000000.0,1168000000.0
Net Tangible Assets,545000000.0,367000000.0,422000000.0,717000000.0,1716000000.0
Capital Lease Obligations,65000000.0,66000000.0,69000000.0,67000000.0,66000000.0
Common Stock Equity,6152000000.0,6000000000.0,6082000000.0,6386000000.0,7412000000.0
Total Capitalization,7637000000.0,7485000000.0,7566000000.0,7870000000.0,9295000000.0
Total Equity Gross Minority Interest,6152000000.0,6000000000.0,6082000000.0,6386000000.0,7412000000.0
Stockholders Equity,6152000000.0,6000000000.0,6082000000.0,6386000000.0,7412000000.0
Gains Losses Not Affecting Retained Earnings,-127000000.0,-156000000.0,-162000000.0,-87000000.0,-63000000.0
Other Equity Adjustments,-127000000.0,-156000000.0,-162000000.0,-87000000.0,-63000000.0
Retained Earnings,6194000000.0,6153000000.0,6241000000.0,6470000000.0,7472000000.0
Additional Paid In Capital,82000000.0,0.0,0.0,0.0,0.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Preferred Stock,,,,0.0,
Total Liabilities Net Minority Interest,7128000000.0,5854000000.0,5617000000.0,5982000000.0,6039000000.0
Total Non Current Liabilities Net Minority Interest,2692000000.0,2614000000.0,2577000000.0,2523000000.0,2935000000.0
Other Non Current Liabilities,488000000.0,445000000.0,446000000.0,445000000.0,479000000.0
Tradeand Other Payables Non Current,719000000.0,684000000.0,647000000.0,594000000.0,573000000.0
Long Term Debt And Capital Lease Obligation,1485000000.0,1485000000.0,1484000000.0,1484000000.0,1883000000.0
Long Term Debt,1485000000.0,1485000000.0,1484000000.0,1484000000.0,1883000000.0
Current Liabilities,4436000000.0,3240000000.0,3040000000.0,3459000000.0,3104000000.0
Current Deferred Liabilities,2617000000.0,1511000000.0,1427000000.0,1794000000.0,1898000000.0
Current Deferred Revenue,2617000000.0,1511000000.0,1427000000.0,1794000000.0,1898000000.0
Current Debt And Capital Lease Obligation,465000000.0,466000000.0,469000000.0,467000000.0,66000000.0
Current Capital Lease Obligation,65000000.0,66000000.0,69000000.0,67000000.0,66000000.0
Current Debt,400000000.0,400000000.0,400000000.0,400000000.0,
Other Current Borrowings,400000000.0,400000000.0,400000000.0,400000000.0,
Pensionand Other Post Retirement Benefit Plans Current,479000000.0,366000000.0,382000000.0,486000000.0,390000000.0
Current Provisions,161000000.0,61000000.0,56000000.0,84000000.0,157000000.0
Payables And Accrued Expenses,714000000.0,836000000.0,706000000.0,628000000.0,593000000.0
Current Accrued Expenses,638000000.0,661000000.0,614000000.0,523000000.0,512000000.0
Payables,76000000.0,175000000.0,92000000.0,105000000.0,81000000.0
Accounts Payable,76000000.0,175000000.0,92000000.0,105000000.0,81000000.0
Total Assets,13280000000.0,11854000000.0,11699000000.0,12368000000.0,13451000000.0
Total Non Current Assets,9172000000.0,9138000000.0,9154000000.0,9092000000.0,9179000000.0
Other Non Current Assets,514000000.0,472000000.0,440000000.0,417000000.0,450000000.0
Non Current Deferred Assets,2451000000.0,2455000000.0,2462000000.0,2420000000.0,2467000000.0
Non Current Deferred Taxes Assets,2451000000.0,2455000000.0,2462000000.0,2420000000.0,2467000000.0
Goodwill And Other Intangible Assets,5607000000.0,5633000000.0,5660000000.0,5669000000.0,5696000000.0
Other Intangible Assets,219000000.0,245000000.0,271000000.0,293000000.0,320000000.0
Goodwill,5388000000.0,5388000000.0,5389000000.0,5376000000.0,5376000000.0
Net PPE,600000000.0,578000000.0,592000000.0,586000000.0,566000000.0
Accumulated Depreciation,-1329000000.0,-1315000000.0,-1277000000.0,-1251000000.0,-1235000000.0
Gross PPE,1929000000.0,1893000000.0,1869000000.0,1837000000.0,1801000000.0
Leases,238000000.0,237000000.0,234000000.0,229000000.0,231000000.0
Construction In Progress,39000000.0,27000000.0,26000000.0,21000000.0,22000000.0
Machinery Furniture Equipment,1193000000.0,1173000000.0,1153000000.0,1142000000.0,1111000000.0
Buildings And Improvements,393000000.0,390000000.0,390000000.0,379000000.0,371000000.0
Land And Improvements,66000000.0,66000000.0,66000000.0,66000000.0,66000000.0
Properties,0.0,0.0,0.0,0.0,0.0
Current Assets,4108000000.0,2716000000.0,2545000000.0,3276000000.0,4272000000.0
Other Current Assets,380000000.0,379000000.0,382000000.0,349000000.0,375000000.0
Receivables,829000000.0,1077000000.0,533000000.0,679000000.0,742000000.0
Accounts Receivable,829000000.0,1077000000.0,533000000.0,679000000.0,742000000.0
Cash Cash Equivalents And Short Term Investments,2899000000.0,1260000000.0,1630000000.0,2248000000.0,3155000000.0
Other Short Term Investments,115000000.0,112000000.0,112000000.0,112000000.0,379000000.0
Cash And Cash Equivalents,2784000000.0,1148000000.0,1518000000.0,2136000000.0,2776000000.0
