,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,1858000000.0,2116000000.0,1343000000.0,1711000000.0
Repurchase Of Capital Stock,-2508000000.0,-1300000000.0,-1295000000.0,-1300000000.0
Repayment Of Debt,,,0.0,0.0
Issuance Of Debt,,,0.0,0.0
Issuance Of Capital Stock,78000000.0,77000000.0,80000000.0,77000000.0
Capital Expenditure,-221000000.0,-199000000.0,-207000000.0,-188000000.0
Interest Paid Supplemental Data,56000000.0,56000000.0,56000000.0,56000000.0
Income Tax Paid Supplemental Data,404000000.0,300000000.0,583000000.0,629000000.0
End Cash Position,2136000000.0,2900000000.0,2424000000.0,2732000000.0
Beginning Cash Position,2900000000.0,2424000000.0,2732000000.0,5260000000.0
Effect Of Exchange Rate Changes,-17000000.0,-8000000.0,-41000000.0,-3000000.0
Changes In Cash,-747000000.0,484000000.0,-267000000.0,-2525000000.0
Financing Cash Flow,-2863000000.0,-1624000000.0,-1600000000.0,-1620000000.0
Cash Flow From Continuing Financing Activities,-2863000000.0,-1624000000.0,-1600000000.0,-1620000000.0
Net Other Financing Charges,-234000000.0,-196000000.0,-175000000.0,-204000000.0
Cash Dividends Paid,-199000000.0,-205000000.0,-210000000.0,-193000000.0
Common Stock Dividend Paid,-199000000.0,-205000000.0,-210000000.0,-193000000.0
Net Common Stock Issuance,-2430000000.0,-1223000000.0,-1215000000.0,-1223000000.0
Common Stock Payments,-2508000000.0,-1300000000.0,-1295000000.0,-1300000000.0
Common Stock Issuance,78000000.0,77000000.0,80000000.0,77000000.0
Net Issuance Payments Of Debt,,,0.0,0.0
Net Long Term Debt Issuance,,,0.0,0.0
Long Term Debt Payments,,,0.0,0.0
Long Term Debt Issuance,,,0.0,0.0
Investing Cash Flow,37000000.0,-207000000.0,-217000000.0,-2804000000.0
Cash Flow From Continuing Investing Activities,37000000.0,-207000000.0,-217000000.0,-2804000000.0
Net Investment Purchase And Sale,258000000.0,-8000000.0,-10000000.0,775000000.0
Sale Of Investment,695000000.0,632000000.0,395000000.0,1329000000.0
Purchase Of Investment,-437000000.0,-640000000.0,-405000000.0,-554000000.0
Net Business Purchase And Sale,,0.0,0.0,-3391000000.0
Purchase Of Business,,0.0,0.0,-3391000000.0
Capital Expenditure Reported,-221000000.0,-199000000.0,-207000000.0,-188000000.0
Operating Cash Flow,2079000000.0,2315000000.0,1550000000.0,1899000000.0
Cash Flow From Continuing Operating Activities,2079000000.0,2315000000.0,1550000000.0,1899000000.0
Change In Working Capital,-40000000.0,54000000.0,-336000000.0,96000000.0
Change In Other Working Capital,-155000000.0,-5000000.0,-343000000.0,168000000.0
Change In Other Current Assets,40000000.0,148000000.0,-103000000.0,-157000000.0
Change In Payables And Accrued Expense,190000000.0,-208000000.0,144000000.0,162000000.0
Change In Accrued Expense,,-202000000.0,134000000.0,169000000.0
Change In Payable,190000000.0,-208000000.0,144000000.0,-7000000.0
Change In Account Payable,190000000.0,-208000000.0,144000000.0,-7000000.0
Change In Receivables,-115000000.0,119000000.0,-34000000.0,-77000000.0
Stock Based Compensation,642000000.0,584000000.0,548000000.0,528000000.0
Depreciation Amortization Depletion,356000000.0,404000000.0,536000000.0,486000000.0
Depreciation And Amortization,356000000.0,404000000.0,536000000.0,486000000.0
Depreciation,356000000.0,404000000.0,536000000.0,486000000.0
Net Income From Continuing Operations,1121000000.0,1273000000.0,802000000.0,789000000.0
