Date,Dividends,Stock Splits
2019-03-14 00:00:00-04:00,0.25,0.0
2019-06-13 00:00:00-04:00,0.25,0.0
2019-09-12 00:00:00-04:00,0.25,0.0
2019-12-12 00:00:00-05:00,0.25,0.0
2020-03-12 00:00:00-04:00,0.27,0.0
2020-06-12 00:00:00-04:00,0.27,0.0
2020-09-14 00:00:00-04:00,0.27,0.0
2020-12-14 00:00:00-05:00,0.27,0.0
2021-03-12 00:00:00-05:00,0.29,0.0
2021-06-14 00:00:00-04:00,0.29,0.0
2021-09-14 00:00:00-04:00,0.29,0.0
2021-12-14 00:00:00-05:00,0.29,0.0
2022-03-14 00:00:00-04:00,0.31,0.0
2022-06-14 00:00:00-04:00,0.31,0.0
2022-09-14 00:00:00-04:00,0.31,0.0
2022-12-14 00:00:00-05:00,0.31,0.0
2023-03-14 00:00:00-04:00,0.34,0.0
2023-06-14 00:00:00-04:00,0.34,0.0
2023-09-14 00:00:00-04:00,0.34,0.0
2023-12-14 00:00:00-05:00,0.34,0.0
2024-03-14 00:00:00-04:00,0.39,0.0
2024-06-14 00:00:00-04:00,0.39,0.0
2024-09-13 00:00:00-04:00,0.39,0.0
2024-12-13 00:00:00-05:00,0.39,0.0
2025-03-14 00:00:00-04:00,0.45,0.0
2025-06-13 00:00:00-04:00,0.45,0.0
2025-09-15 00:00:00-04:00,0.45,0.0
2025-12-15 00:00:00-05:00,0.45,0.0
2026-03-13 00:00:00-04:00,0.5,0.0
