,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,304979000.0,1050019000.0,887717000.0,1481761000.0,
Repurchase Of Capital Stock,-23531000.0,0.0,0.0,,
Repayment Of Debt,-2049287000.0,-1959725000.0,-730643000.0,-45792000.0,
Issuance Of Debt,3714432000.0,1671842000.0,1061026000.0,122251000.0,
Issuance Of Capital Stock,,,0.0,0.0,449630000.0
Capital Expenditure,-1090337000.0,-675156000.0,-475257000.0,-353286000.0,
Interest Paid Supplemental Data,118638000.0,132758000.0,57367000.0,180878000.0,
Income Tax Paid Supplemental Data,313038000.0,253652000.0,175148000.0,43859000.0,
End Cash Position,7106986000.0,6106109000.0,6238956000.0,5620194000.0,
Beginning Cash Position,6106109000.0,6238956000.0,5620194000.0,4887792000.0,
Effect Of Exchange Rate Changes,425504000.0,-345191000.0,38874000.0,-174614000.0,
Changes In Cash,575373000.0,212344000.0,579888000.0,907016000.0,
Financing Cash Flow,406507000.0,-658550000.0,-87281000.0,-143340000.0,
Cash Flow From Continuing Financing Activities,406507000.0,-658550000.0,-87281000.0,-143340000.0,
Net Other Financing Charges,-1240188000.0,-396719000.0,-436928000.0,-255574000.0,
Proceeds From Stock Option Exercised,5081000.0,26052000.0,19264000.0,35775000.0,
Net Common Stock Issuance,-23531000.0,0.0,0.0,0.0,
Common Stock Payments,-23531000.0,0.0,0.0,,
Common Stock Issuance,,,0.0,0.0,449630000.0
Net Issuance Payments Of Debt,1665145000.0,-287883000.0,330383000.0,76459000.0,
Net Long Term Debt Issuance,1665145000.0,-287883000.0,330383000.0,76459000.0,
Long Term Debt Payments,-2049287000.0,-1959725000.0,-730643000.0,-45792000.0,
Long Term Debt Issuance,3714432000.0,1671842000.0,1061026000.0,122251000.0,
Investing Cash Flow,-1226450000.0,-854281000.0,-695805000.0,-784691000.0,
Cash Flow From Continuing Investing Activities,-1226450000.0,-854281000.0,-695805000.0,-784691000.0,
Net Other Investing Changes,-15760000.0,-54729000.0,-149616000.0,-86891000.0,
Net Business Purchase And Sale,-120353000.0,-124396000.0,-70932000.0,-344514000.0,
Sale Of Business,,19594000.0,1524000.0,3863000.0,90432000.0
Purchase Of Business,-120353000.0,-143990000.0,-72456000.0,-348377000.0,
Net Intangibles Purchase And Sale,-7832000.0,-8522000.0,-36653000.0,-6080000.0,
Purchase Of Intangibles,-7832000.0,-8522000.0,-36653000.0,-6080000.0,
Net PPE Purchase And Sale,-1082505000.0,-666634000.0,-438604000.0,-347206000.0,
Purchase Of PPE,-1082505000.0,-666634000.0,-438604000.0,-347206000.0,
Operating Cash Flow,1395316000.0,1725175000.0,1362974000.0,1835047000.0,
Cash Flow From Continuing Operating Activities,1395316000.0,1725175000.0,1362974000.0,1835047000.0,
Change In Working Capital,-287746000.0,651105000.0,-137286000.0,675447000.0,
Change In Other Working Capital,341868000.0,478085000.0,140917000.0,359723000.0,
Change In Payables And Accrued Expense,-138407000.0,13782000.0,450370000.0,1028172000.0,
Change In Payable,-138407000.0,13782000.0,450370000.0,1028172000.0,
Change In Account Payable,-138407000.0,13782000.0,450370000.0,1028172000.0,
Change In Prepaid Assets,-343315000.0,-22192000.0,-202834000.0,-267945000.0,
Change In Receivables,-147892000.0,181430000.0,-525739000.0,-444503000.0,
Changes In Account Receivables,-147892000.0,181430000.0,-525739000.0,-444503000.0,
Other Non Cash Items,197033000.0,66125000.0,131195000.0,155980000.0,
Stock Based Compensation,155219000.0,110348000.0,115959000.0,110049000.0,
Unrealized Gain Loss On Investment Securities,-12112000.0,-102929000.0,-47878000.0,-22638000.0,
Provisionand Write Offof Assets,30784000.0,1002000.0,78336000.0,68612000.0,
Deferred Tax,-20502000.0,-708570000.0,-44018000.0,7199000.0,
Deferred Income Tax,-20502000.0,-708570000.0,-44018000.0,7199000.0,
Depreciation Amortization Depletion,638872000.0,549923000.0,516797000.0,449976000.0,
Depreciation And Amortization,638872000.0,549923000.0,516797000.0,449976000.0,
Amortization Cash Flow,264571000.0,249920000.0,250207000.0,224206000.0,
Amortization Of Intangibles,264571000.0,249920000.0,250207000.0,224206000.0,
Depreciation,374301000.0,300003000.0,266590000.0,225770000.0,
Operating Gains Losses,3028000.0,27047000.0,46071000.0,15839000.0,
Earnings Losses From Equity Investments,23227000.0,32371000.0,30522000.0,14912000.0,
Gain Loss On Investment Securities,,-15393000.0,5635000.0,927000.0,
Gain Loss On Sale Of PPE,-20979000.0,-7887000.0,-2955000.0,,
Gain Loss On Sale Of Business,,,-979000.0,1357000.0,-83578000.0
Net Income From Continuing Operations,690740000.0,1131124000.0,703798000.0,374583000.0,
