,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,247679.055404,187091.529846,116160.999809,239428.129762,240875.56096,
Tax Rate For Calcs,0.000913,0.001311,0.001993,0.001553,0.000755,
Normalized EBITDA,464719000.0,496529000.0,465331000.0,449595000.0,466694000.0,
Total Unusual Items,271271000.0,142685000.0,58280000.0,154152000.0,318968000.0,
Total Unusual Items Excluding Goodwill,271271000.0,142685000.0,58280000.0,154152000.0,318968000.0,
Net Income From Continuing Operation Net Minority Interest,382090000.0,289053000.0,192367000.0,256659000.0,419115000.0,
Reconciled Depreciation,261378000.0,257827000.0,244095000.0,259935000.0,267378000.0,
Reconciled Cost Of Revenue,283781000.0,283373000.0,280186000.0,288352000.0,274155000.0,
EBITDA,735990000.0,639214000.0,523611000.0,603747000.0,785662000.0,
EBIT,474612000.0,381387000.0,279516000.0,343812000.0,518284000.0,
Net Interest Income,-78225000.0,-37044000.0,-75291000.0,-72566000.0,-78195000.0,
Interest Expense,79226000.0,80141000.0,75317000.0,72114000.0,79973000.0,
Interest Income,3400000.0,45219000.0,2129000.0,1692000.0,3828000.0,
Normalized Income,111066679.055404,146555091.529846,134203160.999809,102746428.129762,100387875.56096,
Net Income From Continuing And Discontinued Operation,382090000.0,289053000.0,192367000.0,256659000.0,419115000.0,
Total Expenses,558989000.0,555864000.0,542812000.0,566542000.0,554284000.0,
Diluted Average Shares,388748000.0,390966000.0,391497694.0,391179431.0,391195000.0,
Basic Average Shares,379121000.0,380593000.0,379507960.0,379207994.0,379023000.0,
Diluted EPS,1.0,0.76,0.5,0.67,1.1,
Basic EPS,1.01,0.76,0.51,0.68,1.1,
Diluted NI Availto Com Stockholders,390096000.0,295411000.0,197227000.0,263338000.0,401470000.0,
Average Dilution Earnings,8361000.0,6716000.0,5226000.0,7102000.0,,4012000.0
Net Income Common Stockholders,381735000.0,288695000.0,192001000.0,256236000.0,418760000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Preferred Stock Dividends,355000.0,356000.0,355000.0,356000.0,355000.0,
Net Income,382090000.0,289051000.0,192356000.0,256592000.0,419115000.0,
Minority Interests,-9408000.0,-7817000.0,-6429000.0,-8206000.0,-14756000.0,
Net Income Including Noncontrolling Interests,391498000.0,296868000.0,198785000.0,264798000.0,433871000.0,
Net Income From Tax Loss Carryforward,,,-11000.0,,,
Net Income Extraordinary,0.0,-2000.0,,-67000.0,,
Net Income Continuous Operations,391498000.0,296870000.0,198796000.0,264865000.0,433871000.0,
Earnings From Equity Interest Net Of Tax,-3527000.0,-3981000.0,-4996000.0,-6411000.0,-4109000.0,
Tax Provision,361000.0,395000.0,407000.0,422000.0,331000.0,
Pretax Income,395386000.0,301246000.0,204199000.0,271698000.0,438311000.0,
Other Income Expense,250689000.0,111743000.0,53475000.0,149996000.0,304011000.0,
Other Non Operating Income Expenses,-20582000.0,-30942000.0,-4805000.0,-4156000.0,-14957000.0,
Gain On Sale Of Security,271271000.0,142685000.0,58280000.0,154152000.0,318968000.0,
Net Non Operating Interest Income Expense,-78225000.0,-37044000.0,-75291000.0,-72566000.0,-78195000.0,
Total Other Finance Cost,2399000.0,2122000.0,2103000.0,2144000.0,2050000.0,
Interest Expense Non Operating,79226000.0,80141000.0,75317000.0,72114000.0,79973000.0,
Interest Income Non Operating,3400000.0,45219000.0,2129000.0,1692000.0,3828000.0,
Operating Income,222922000.0,226547000.0,226015000.0,194268000.0,212495000.0,
Operating Expense,271938000.0,269321000.0,259420000.0,275001000.0,276901000.0,
Depreciation Amortization Depletion Income Statement,258108000.0,254657000.0,240889000.0,256746000.0,264150000.0,
Depreciation And Amortization In Income Statement,258108000.0,254657000.0,240889000.0,256746000.0,264150000.0,
Depreciation Income Statement,258108000.0,254657000.0,240889000.0,256746000.0,264150000.0,
Selling General And Administration,13830000.0,14664000.0,18531000.0,18255000.0,12751000.0,
General And Administrative Expense,13830000.0,14664000.0,18531000.0,18255000.0,12751000.0,
Other Gand A,13830000.0,14664000.0,18531000.0,18255000.0,12751000.0,
Gross Profit,494860000.0,495868000.0,485435000.0,469269000.0,489396000.0,
Cost Of Revenue,287051000.0,286543000.0,283392000.0,291541000.0,277383000.0,
Total Revenue,781911000.0,782411000.0,768827000.0,760810000.0,766779000.0,
Operating Revenue,781911000.0,782411000.0,768827000.0,760810000.0,766779000.0,
