,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,371000000.0,415000000.0,270000000.0,-190000000.0,351000000.0,
Repurchase Of Capital Stock,-217000000.0,-123000000.0,-101000000.0,-130000000.0,-269000000.0,
Repayment Of Debt,-1000000.0,0.0,-1000000.0,0.0,-1000000.0,
Issuance Of Debt,,,-85000000.0,131000000.0,0.0,0.0
Capital Expenditure,-47000000.0,-41000000.0,-36000000.0,-32000000.0,-56000000.0,
End Cash Position,647000000.0,559000000.0,390000000.0,377000000.0,634000000.0,
Beginning Cash Position,559000000.0,390000000.0,377000000.0,634000000.0,646000000.0,
Effect Of Exchange Rate Changes,2000000.0,1000000.0,16000000.0,6000000.0,-14000000.0,
Changes In Cash,86000000.0,168000000.0,-3000000.0,-263000000.0,2000000.0,
Financing Cash Flow,-296000000.0,-248000000.0,-272000000.0,-72000000.0,-344000000.0,
Cash Flow From Continuing Financing Activities,-297000000.0,-247000000.0,-274000000.0,-71000000.0,-346000000.0,
Net Other Financing Charges,-14000000.0,-18000000.0,-19000000.0,-9000000.0,-14000000.0,
Proceeds From Stock Option Exercised,0.0,4000000.0,0.0,2000000.0,3000000.0,
Cash Dividends Paid,-64000000.0,-65000000.0,-66000000.0,-66000000.0,-63000000.0,
Common Stock Dividend Paid,-64000000.0,-65000000.0,-66000000.0,-66000000.0,-63000000.0,
Net Common Stock Issuance,-217000000.0,-123000000.0,-101000000.0,-130000000.0,-269000000.0,
Common Stock Payments,-217000000.0,-123000000.0,-101000000.0,-130000000.0,-269000000.0,
Net Issuance Payments Of Debt,-1000000.0,-46000000.0,-86000000.0,131000000.0,-1000000.0,
Net Short Term Debt Issuance,,,-85000000.0,131000000.0,0.0,0.0
Short Term Debt Payments,,,,,0.0,
Short Term Debt Issuance,,,-85000000.0,131000000.0,0.0,0.0
Net Long Term Debt Issuance,-1000000.0,0.0,-1000000.0,0.0,-1000000.0,
Long Term Debt Payments,-1000000.0,0.0,-1000000.0,0.0,-1000000.0,
Investing Cash Flow,-33000000.0,-41000000.0,-37000000.0,-33000000.0,-62000000.0,
Cash Flow From Continuing Investing Activities,-34000000.0,-42000000.0,-37000000.0,-32000000.0,-62000000.0,
Net Other Investing Changes,0.0,0.0,-1000000.0,-1000000.0,-1000000.0,
Net Business Purchase And Sale,0.0,0.0,,,-5000000.0,131000000.0
Sale Of Business,0.0,,,,-5000000.0,
Purchase Of Business,0.0,0.0,,,0.0,0.0
Capital Expenditure Reported,-47000000.0,-41000000.0,-36000000.0,-32000000.0,-56000000.0,
Operating Cash Flow,418000000.0,456000000.0,306000000.0,-158000000.0,407000000.0,
Cash Flow From Continuing Operating Activities,418000000.0,457000000.0,304000000.0,-157000000.0,406000000.0,
Change In Working Capital,216000000.0,167000000.0,-40000000.0,-419000000.0,158000000.0,
Change In Payables And Accrued Expense,36000000.0,5000000.0,37000000.0,-92000000.0,-1000000.0,
Change In Inventory,25000000.0,27000000.0,-31000000.0,-102000000.0,56000000.0,
Change In Receivables,155000000.0,135000000.0,-46000000.0,-225000000.0,103000000.0,
Other Non Cash Items,,,2000000.0,-1000000.0,7000000.0,0.0
Net Income From Continuing Operations,-38000000.0,290000000.0,344000000.0,262000000.0,-83000000.0,
