,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,2625000000.0,2160000000.0,1726000000.0,1650000000.0,325000000.0
Repurchase Of Capital Stock,-895000000.0,-701000000.0,-581000000.0,-730000000.0,-665000000.0
Repayment Of Debt,-306000000.0,-258000000.0,-537000000.0,-331000000.0,-779000000.0
Issuance Of Debt,304000000.0,126000000.0,387000000.0,1044000000.0,390000000.0
Capital Expenditure,-44000000.0,-44000000.0,-38000000.0,-36000000.0,-58000000.0
Interest Paid Supplemental Data,202000000.0,170000000.0,210000000.0,170000000.0,270000000.0
Income Tax Paid Supplemental Data,156000000.0,29000000.0,672000000.0,28000000.0,281000000.0
End Cash Position,11158000000.0,10952000000.0,9610000000.0,8959000000.0,9489000000.0
Beginning Cash Position,10952000000.0,9610000000.0,8959000000.0,9489000000.0,11379000000.0
Effect Of Exchange Rate Changes,1000000.0,-8000000.0,25000000.0,13000000.0,-32000000.0
Changes In Cash,205000000.0,1350000000.0,626000000.0,-543000000.0,-1858000000.0
Financing Cash Flow,-871000000.0,-1858000000.0,-1940000000.0,-488000000.0,-1458000000.0
Cash Flow From Continuing Financing Activities,-871000000.0,-1858000000.0,-1940000000.0,-488000000.0,-1458000000.0
Net Other Financing Charges,175000000.0,-874000000.0,-1057000000.0,-327000000.0,-260000000.0
Cash Dividends Paid,-149000000.0,-151000000.0,-152000000.0,-144000000.0,-144000000.0
Common Stock Dividend Paid,-149000000.0,-151000000.0,-152000000.0,-144000000.0,-144000000.0
Net Common Stock Issuance,-895000000.0,-701000000.0,-581000000.0,-730000000.0,-665000000.0
Common Stock Payments,-895000000.0,-701000000.0,-581000000.0,-730000000.0,-665000000.0
Net Issuance Payments Of Debt,-2000000.0,-132000000.0,-150000000.0,713000000.0,-389000000.0
Net Long Term Debt Issuance,-2000000.0,-132000000.0,-150000000.0,713000000.0,-389000000.0
Long Term Debt Payments,-306000000.0,-258000000.0,-537000000.0,-331000000.0,-779000000.0
Long Term Debt Issuance,304000000.0,126000000.0,387000000.0,1044000000.0,390000000.0
Investing Cash Flow,-1593000000.0,1004000000.0,802000000.0,-1741000000.0,-783000000.0
Cash Flow From Continuing Investing Activities,-1593000000.0,1004000000.0,802000000.0,-1741000000.0,-783000000.0
Net Other Investing Changes,-233000000.0,60000000.0,71000000.0,94000000.0,65000000.0
Net Investment Purchase And Sale,-1098000000.0,1227000000.0,971000000.0,-1542000000.0,-816000000.0
Sale Of Investment,4162000000.0,4889000000.0,4794000000.0,5318000000.0,5099000000.0
Purchase Of Investment,-5260000000.0,-3662000000.0,-3823000000.0,-6860000000.0,-5915000000.0
Net Business Purchase And Sale,-42000000.0,-96000000.0,-118000000.0,-187000000.0,83000000.0
Sale Of Business,325000000.0,237000000.0,259000000.0,167000000.0,417000000.0
Purchase Of Business,-367000000.0,-333000000.0,-377000000.0,-354000000.0,-334000000.0
Net PPE Purchase And Sale,-44000000.0,-44000000.0,-38000000.0,-36000000.0,-58000000.0
Purchase Of PPE,-44000000.0,-44000000.0,-38000000.0,-36000000.0,-58000000.0
Operating Cash Flow,2669000000.0,2204000000.0,1764000000.0,1686000000.0,383000000.0
Cash Flow From Continuing Operating Activities,2669000000.0,2204000000.0,1764000000.0,1686000000.0,383000000.0
Change In Working Capital,1629000000.0,1192000000.0,477000000.0,1162000000.0,-670000000.0
Change In Other Working Capital,381000000.0,-253000000.0,-1269000000.0,745000000.0,-995000000.0
Change In Payables And Accrued Expense,288000000.0,246000000.0,179000000.0,-452000000.0,132000000.0
Change In Receivables,292000000.0,-348000000.0,117000000.0,-220000000.0,-6000000.0
Other Non Cash Items,12000000.0,11000000.0,1000000.0,-5000000.0,4000000.0
Stock Based Compensation,61000000.0,50000000.0,46000000.0,49000000.0,55000000.0
Deferred Tax,-30000000.0,80000000.0,202000000.0,-95000000.0,-44000000.0
Deferred Income Tax,-30000000.0,80000000.0,202000000.0,-95000000.0,-44000000.0
Depreciation And Amortization,-20000000.0,-19000000.0,-27000000.0,-27000000.0,-34000000.0
Depreciation,-20000000.0,-19000000.0,-27000000.0,-27000000.0,
Operating Gains Losses,9000000.0,-22000000.0,5000000.0,19000000.0,1000000.0
Earnings Losses From Equity Investments,13000000.0,-9000000.0,-9000000.0,25000000.0,-12000000.0
Gain Loss On Investment Securities,-4000000.0,-13000000.0,14000000.0,-6000000.0,13000000.0
Net Income From Continuing Operations,1008000000.0,912000000.0,1060000000.0,583000000.0,1071000000.0
