Date,Dividends,Stock Splits
2014-10-10 00:00:00-04:00,0.18,0.0
2015-02-18 00:00:00-05:00,0.18,0.0
2015-05-13 00:00:00-04:00,0.18,0.0
2015-08-13 00:00:00-04:00,0.22,0.0
2015-11-10 00:00:00-05:00,0.22,0.0
2016-02-17 00:00:00-05:00,0.22,0.0
2016-05-11 00:00:00-04:00,0.22,0.0
2016-08-11 00:00:00-04:00,0.28,0.0
2016-11-09 00:00:00-05:00,0.28,0.0
2017-02-15 00:00:00-05:00,0.28,0.0
2017-05-17 00:00:00-04:00,0.28,0.0
2017-08-16 00:00:00-04:00,0.38,0.0
2017-11-16 00:00:00-05:00,0.38,0.0
2018-02-15 00:00:00-05:00,0.38,0.0
2018-05-17 00:00:00-04:00,0.38,0.0
2018-08-16 00:00:00-04:00,0.58,0.0
2018-11-15 00:00:00-05:00,0.58,0.0
2019-02-21 00:00:00-05:00,0.58,0.0
2019-05-16 00:00:00-04:00,0.58,0.0
2019-08-15 00:00:00-04:00,0.68,0.0
2019-11-14 00:00:00-05:00,0.68,0.0
2020-02-20 00:00:00-05:00,0.68,0.0
2020-05-14 00:00:00-04:00,0.68,0.0
2020-08-13 00:00:00-04:00,0.78,0.0
2020-11-12 00:00:00-05:00,0.78,0.0
2021-02-18 00:00:00-05:00,0.78,0.0
2021-05-13 00:00:00-04:00,0.78,0.0
2021-08-12 00:00:00-04:00,1.04,0.0
2021-11-10 00:00:00-05:00,1.04,0.0
2022-02-17 00:00:00-05:00,1.04,0.0
2022-05-12 00:00:00-04:00,1.04,0.0
2022-08-11 00:00:00-04:00,1.25,0.0
2022-11-09 00:00:00-05:00,1.25,0.0
2023-02-16 00:00:00-05:00,1.38,0.0
2023-05-11 00:00:00-04:00,1.38,0.0
2023-08-10 00:00:00-04:00,1.38,0.0
2023-11-08 00:00:00-05:00,1.38,0.0
2024-02-15 00:00:00-05:00,1.6,0.0
2024-05-16 00:00:00-04:00,1.6,0.0
2024-08-16 00:00:00-04:00,1.6,0.0
2024-11-15 00:00:00-05:00,1.6,0.0
2025-02-14 00:00:00-05:00,1.8,0.0
2025-05-16 00:00:00-04:00,1.8,0.0
2025-08-15 00:00:00-04:00,1.8,0.0
2025-11-14 00:00:00-05:00,1.8,0.0
2026-02-13 00:00:00-05:00,2.05,0.0
