,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,930000000.0,886000000.0,-108000000.0,72000000.0,365000000.0,
Repurchase Of Capital Stock,-501000000.0,-500000000.0,-800000000.0,-416000000.0,-450000000.0,
Repayment Of Debt,-31000000.0,-31000000.0,-2146000000.0,-2710000000.0,-95000000.0,
Issuance Of Debt,0.0,0.0,3984000000.0,2797000000.0,0.0,
Capital Expenditure,-274000000.0,-229000000.0,-286000000.0,-454000000.0,-550000000.0,
Interest Paid Supplemental Data,143000000.0,204000000.0,117000000.0,246000000.0,87000000.0,
Income Tax Paid Supplemental Data,39000000.0,97000000.0,101000000.0,34000000.0,16000000.0,
End Cash Position,3966000000.0,3478000000.0,3575000000.0,3161000000.0,3775000000.0,
Beginning Cash Position,3478000000.0,3575000000.0,3161000000.0,3775000000.0,4333000000.0,
Effect Of Exchange Rate Changes,1000000.0,11000000.0,10000000.0,6000000.0,-44000000.0,
Changes In Cash,487000000.0,-108000000.0,404000000.0,-620000000.0,-514000000.0,
Financing Cash Flow,-451000000.0,-1012000000.0,512000000.0,-692000000.0,-879000000.0,
Cash Flow From Continuing Financing Activities,-451000000.0,-1012000000.0,512000000.0,-692000000.0,-879000000.0,
Net Other Financing Charges,188000000.0,-243000000.0,-280000000.0,-184000000.0,-129000000.0,
Proceeds From Stock Option Exercised,263000000.0,,,,0.0,1000000.0
Cash Dividends Paid,-169000000.0,-239000000.0,-246000000.0,-179000000.0,-145000000.0,
Common Stock Dividend Paid,-169000000.0,-239000000.0,-246000000.0,-179000000.0,-145000000.0,
Net Common Stock Issuance,-501000000.0,-500000000.0,-800000000.0,-416000000.0,-450000000.0,
Common Stock Payments,-501000000.0,-500000000.0,-800000000.0,-416000000.0,-450000000.0,
Net Issuance Payments Of Debt,-31000000.0,-31000000.0,1838000000.0,87000000.0,-95000000.0,
Net Long Term Debt Issuance,-31000000.0,-31000000.0,1838000000.0,87000000.0,-95000000.0,
Long Term Debt Payments,-31000000.0,-31000000.0,-2146000000.0,-2710000000.0,-95000000.0,
Long Term Debt Issuance,0.0,0.0,3984000000.0,2797000000.0,0.0,
Investing Cash Flow,-266000000.0,-211000000.0,-286000000.0,-454000000.0,-550000000.0,
Cash Flow From Continuing Investing Activities,-266000000.0,-211000000.0,-286000000.0,-454000000.0,-550000000.0,
Net Other Investing Changes,8000000.0,,,,,
Net Intangibles Purchase And Sale,0.0,0.0,0.0,-75000000.0,-3000000.0,
Purchase Of Intangibles,0.0,0.0,0.0,-75000000.0,-3000000.0,
Net PPE Purchase And Sale,0.0,7000000.0,,,0.0,0.0
Sale Of PPE,0.0,7000000.0,,,0.0,0.0
Capital Expenditure Reported,-274000000.0,-229000000.0,-286000000.0,-379000000.0,-547000000.0,
Operating Cash Flow,1204000000.0,1115000000.0,178000000.0,526000000.0,915000000.0,
Cash Flow From Continuing Operating Activities,1204000000.0,1115000000.0,178000000.0,526000000.0,915000000.0,
Change In Working Capital,134000000.0,156000000.0,-784000000.0,-290000000.0,121000000.0,
Change In Other Working Capital,0.0,0.0,,,,
Change In Other Current Liabilities,351000000.0,166000000.0,164000000.0,-220000000.0,138000000.0,
Change In Other Current Assets,-1000000.0,19000000.0,-9000000.0,-36000000.0,-20000000.0,
Change In Payables And Accrued Expense,21000000.0,7000000.0,8000000.0,-14000000.0,29000000.0,
Change In Payable,21000000.0,7000000.0,8000000.0,-14000000.0,29000000.0,
Change In Account Payable,21000000.0,7000000.0,8000000.0,-14000000.0,29000000.0,
Change In Receivables,-237000000.0,-36000000.0,-99000000.0,-20000000.0,-26000000.0,
Changes In Account Receivables,-237000000.0,-36000000.0,-99000000.0,-20000000.0,-26000000.0,
Other Non Cash Items,16000000.0,15000000.0,14000000.0,13000000.0,-5000000.0,
Stock Based Compensation,15000000.0,14000000.0,14000000.0,11000000.0,13000000.0,
Provisionand Write Offof Assets,46000000.0,18000000.0,16000000.0,5000000.0,9000000.0,
Deferred Tax,-4000000.0,-31000000.0,-19000000.0,-6000000.0,20000000.0,
Deferred Income Tax,-4000000.0,-31000000.0,-19000000.0,-6000000.0,20000000.0,
Depreciation Amortization Depletion,383000000.0,389000000.0,391000000.0,377000000.0,363000000.0,
Depreciation And Amortization,383000000.0,389000000.0,391000000.0,377000000.0,363000000.0,
Depreciation,383000000.0,389000000.0,391000000.0,377000000.0,363000000.0,
Operating Gains Losses,166000000.0,63000000.0,27000000.0,8000000.0,2000000.0,
Net Foreign Currency Exchange Gain Loss,4000000.0,-10000000.0,27000000.0,2000000.0,-1000000.0,
Net Income From Continuing Operations,448000000.0,491000000.0,519000000.0,408000000.0,392000000.0,
