,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2424676000.0,1553403000.0,-50190000.0,5088000.0,
Repurchase Of Capital Stock,-2330661000.0,-1170339000.0,-156812000.0,0.0,
Repayment Of Debt,-2457493000.0,-1329729000.0,-1579844000.0,-1943945000.0,
Issuance Of Debt,3505288000.0,3255745000.0,1387662000.0,1620805000.0,
Capital Expenditure,-155038000.0,-153947000.0,-151151000.0,-170815000.0,
Interest Paid Supplemental Data,246331000.0,205776000.0,130009000.0,84876000.0,
Income Tax Paid Supplemental Data,129390000.0,270314000.0,81376000.0,39045000.0,
End Cash Position,12481276000.0,13230512000.0,9009087000.0,8435906000.0,
Beginning Cash Position,13230512000.0,9009087000.0,8435906000.0,6975090000.0,
Effect Of Exchange Rate Changes,86081000.0,-88539000.0,29156000.0,-38363000.0,
Changes In Cash,-835317000.0,4309964000.0,544025000.0,1499179000.0,
Financing Cash Flow,-613099000.0,1952662000.0,-240137000.0,97580000.0,
Cash Flow From Continuing Financing Activities,-613099000.0,1952662000.0,-240137000.0,97580000.0,
Net Other Financing Charges,580824000.0,1042206000.0,-21576000.0,338952000.0,
Proceeds From Stock Option Exercised,88943000.0,154779000.0,130433000.0,81768000.0,
Net Common Stock Issuance,-2330661000.0,-1170339000.0,-156812000.0,0.0,
Common Stock Payments,-2330661000.0,-1170339000.0,-156812000.0,0.0,
Net Issuance Payments Of Debt,1047795000.0,1926016000.0,-192182000.0,-323140000.0,
Net Short Term Debt Issuance,,,-16840000.0,-872157000.0,33439000.0
Short Term Debt Payments,,,-16840000.0,-872157000.0,-648100000.0
Short Term Debt Issuance,,,0.0,0.0,681539000.0
Net Long Term Debt Issuance,1047795000.0,1926016000.0,-192182000.0,-323140000.0,
Long Term Debt Payments,-2457493000.0,-1329729000.0,-1579844000.0,-1943945000.0,
Long Term Debt Issuance,3505288000.0,3255745000.0,1387662000.0,1620805000.0,
Investing Cash Flow,-2801932000.0,649952000.0,683201000.0,1225696000.0,
Cash Flow From Continuing Investing Activities,-2801932000.0,649952000.0,683201000.0,1225696000.0,
Net Other Investing Changes,788972000.0,603981000.0,272864000.0,-169401000.0,
Net Investment Purchase And Sale,-3435866000.0,199918000.0,561488000.0,1026459000.0,
Sale Of Investment,14959154000.0,1451656000.0,1726925000.0,1838868000.0,
Purchase Of Investment,-18395020000.0,-1251738000.0,-1165437000.0,-812409000.0,
Net Business Purchase And Sale,,0.0,-4969000.0,539453000.0,-163970000.0
Sale Of Business,,0.0,0.0,539453000.0,0.0
Purchase Of Business,,,,,-163970000.0
Net Intangibles Purchase And Sale,,,0.0,0.0,-170000000.0
Purchase Of Intangibles,,,0.0,0.0,-170000000.0
Net PPE Purchase And Sale,-155038000.0,-153947000.0,-151151000.0,-170815000.0,
Purchase Of PPE,-155038000.0,-153947000.0,-151151000.0,-170815000.0,
Operating Cash Flow,2579714000.0,1707350000.0,100961000.0,175903000.0,
Cash Flow From Continuing Operating Activities,2579714000.0,1707350000.0,100961000.0,175903000.0,
Change In Working Capital,-841504000.0,207286000.0,-685258000.0,-599941000.0,
Change In Other Working Capital,-568419000.0,150021000.0,-419763000.0,-369639000.0,
Change In Payables And Accrued Expense,373595000.0,-1862011000.0,802542000.0,1268755000.0,
Change In Payable,373595000.0,-1862011000.0,802542000.0,1268755000.0,
Change In Account Payable,373595000.0,-1862011000.0,802542000.0,1268755000.0,
Change In Prepaid Assets,-159364000.0,-28573000.0,40492000.0,,
Change In Receivables,-487316000.0,1947849000.0,-1108529000.0,-1499057000.0,
Changes In Account Receivables,-487316000.0,1947849000.0,-1108529000.0,-1499057000.0,
Other Non Cash Items,369217000.0,-1451135000.0,-940271000.0,13527000.0,
Stock Based Compensation,1215480000.0,1272779000.0,1276097000.0,1071278000.0,
Unrealized Gain Loss On Investment Securities,,-420918000.0,-207084000.0,0.0,0.0
Asset Impairment Charge,0.0,133853000.0,132313000.0,46571000.0,
Deferred Tax,335038000.0,-1665812000.0,-85879000.0,-69593000.0,
Deferred Income Tax,335038000.0,-1665812000.0,-85879000.0,-69593000.0,
Depreciation Amortization Depletion,369529000.0,376127000.0,408560000.0,340523000.0,
Depreciation And Amortization,369529000.0,376127000.0,408560000.0,340523000.0,
Operating Gains Losses,-172256000.0,-32245000.0,16523000.0,-73457000.0,
Earnings Losses From Equity Investments,-172256000.0,-32245000.0,16523000.0,-73457000.0,
Gain Loss On Investment Securities,,,16523000.0,-73457000.0,-35492000.0
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,1304210000.0,2866497000.0,-21124000.0,-553005000.0,
