,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1586910000.0,1118009000.0,1246673000.0,1117679000.0,
Repurchase Of Capital Stock,-1094876000.0,-787763000.0,-836530000.0,-1161955000.0,
Repayment Of Debt,0.0,-1350000000.0,-150000000.0,-485000000.0,
Issuance Of Debt,0.0,3196595000.0,50000000.0,885000000.0,
Issuance Of Capital Stock,145901000.0,204237000.0,132957000.0,105331000.0,
Capital Expenditure,-141871000.0,-142542000.0,-102503000.0,-124215000.0,
Interest Paid Supplemental Data,111951000.0,43219000.0,34934000.0,21122000.0,
Income Tax Paid Supplemental Data,,509979000.0,253700000.0,233235000.0,146424000.0
End Cash Position,3001317000.0,2644030000.0,1008152000.0,882325000.0,
Beginning Cash Position,2644030000.0,1008152000.0,882325000.0,1088940000.0,
Effect Of Exchange Rate Changes,38004000.0,-26796000.0,-7527000.0,-52826000.0,
Changes In Cash,319283000.0,1662674000.0,133354000.0,-153789000.0,
Financing Cash Flow,-948975000.0,1239241000.0,-803573000.0,-657049000.0,
Cash Flow From Continuing Financing Activities,-948975000.0,1239241000.0,-803573000.0,-657049000.0,
Net Other Financing Charges,,-23828000.0,,-425000.0,-1285000.0
Net Common Stock Issuance,-948975000.0,-583526000.0,-703573000.0,-1056624000.0,
Common Stock Payments,-1094876000.0,-787763000.0,-836530000.0,-1161955000.0,
Common Stock Issuance,145901000.0,204237000.0,132957000.0,105331000.0,
Net Issuance Payments Of Debt,0.0,1846595000.0,-100000000.0,400000000.0,
Net Short Term Debt Issuance,,,-100000000.0,100000000.0,0.0
Short Term Debt Payments,,,-150000000.0,-485000000.0,0.0
Short Term Debt Issuance,,,50000000.0,585000000.0,0.0
Net Long Term Debt Issuance,0.0,1846595000.0,-100000000.0,400000000.0,
Long Term Debt Payments,0.0,-1350000000.0,-150000000.0,-485000000.0,
Long Term Debt Issuance,0.0,3196595000.0,50000000.0,885000000.0,
Investing Cash Flow,-460523000.0,-837118000.0,-412249000.0,-738634000.0,
Cash Flow From Continuing Investing Activities,-460523000.0,-837118000.0,-412249000.0,-738634000.0,
Net Investment Purchase And Sale,99386000.0,42998000.0,-111395000.0,-634000.0,
Sale Of Investment,140281000.0,47980000.0,64775000.0,366000.0,
Purchase Of Investment,-40895000.0,-4982000.0,-176170000.0,-1000000.0,
Net Business Purchase And Sale,-429538000.0,-737574000.0,-198351000.0,-613785000.0,
Purchase Of Business,-429538000.0,-737574000.0,-198351000.0,-613785000.0,
Net Intangibles Purchase And Sale,11500000.0,0.0,-166000.0,-1000000.0,
Sale Of Intangibles,11500000.0,0.0,0.0,,
Purchase Of Intangibles,0.0,0.0,-166000.0,-1000000.0,
Net PPE Purchase And Sale,-141871000.0,-142542000.0,-102337000.0,-123215000.0,
Purchase Of PPE,-141871000.0,-142542000.0,-102337000.0,-123215000.0,
Operating Cash Flow,1728781000.0,1260551000.0,1349176000.0,1241894000.0,
Cash Flow From Continuing Operating Activities,1728781000.0,1260551000.0,1349176000.0,1241894000.0,
Change In Working Capital,-73251000.0,-208975000.0,-98778000.0,87545000.0,
Change In Other Working Capital,69411000.0,66478000.0,-21583000.0,131462000.0,
Change In Other Current Liabilities,13551000.0,23592000.0,1802000.0,43542000.0,
Change In Other Current Assets,-18569000.0,11866000.0,-45784000.0,-933000.0,
Change In Payables And Accrued Expense,184897000.0,33676000.0,5415000.0,113945000.0,
Change In Prepaid Assets,43382000.0,-81529000.0,39015000.0,-38927000.0,
Change In Inventory,-91029000.0,-82771000.0,-65895000.0,-23073000.0,
Change In Receivables,-274894000.0,-180287000.0,-11748000.0,-138471000.0,
Other Non Cash Items,7166000.0,6138000.0,6570000.0,1505000.0,
Stock Based Compensation,455175000.0,391219000.0,325611000.0,270439000.0,
Provisionand Write Offof Assets,,2078000.0,3325000.0,204000.0,525000.0
Deferred Tax,66048000.0,-128737000.0,-36512000.0,-107606000.0,
Deferred Income Tax,66048000.0,-128737000.0,-36512000.0,-107606000.0,
Depreciation Amortization Depletion,233844000.0,195015000.0,145743000.0,135430000.0,
Depreciation And Amortization,233844000.0,195015000.0,145743000.0,135430000.0,
Depreciation,233844000.0,195015000.0,145743000.0,135430000.0,
Operating Gains Losses,-69089000.0,-49593000.0,-34602000.0,5425000.0,
Gain Loss On Investment Securities,-69089000.0,-49593000.0,-34602000.0,5425000.0,
Net Income From Continuing Operations,1108888000.0,1055484000.0,1041144000.0,848952000.0,
