,2025-10-31,2024-10-31,2023-10-31,2022-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.092,0.153,0.074,0.166
Normalized EBITDA,1835000000.0,1874000000.0,1705000000.0,1905000000.0
Net Income From Continuing Operation Net Minority Interest,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Reconciled Depreciation,288000000.0,257000000.0,271000000.0,317000000.0
Reconciled Cost Of Revenue,3305000000.0,2975000000.0,3368000000.0,3126000000.0
EBITDA,1835000000.0,1874000000.0,1705000000.0,1905000000.0
EBIT,1547000000.0,1617000000.0,1434000000.0,1588000000.0
Net Interest Income,-50000000.0,-16000000.0,-44000000.0,-75000000.0
Interest Expense,112000000.0,96000000.0,95000000.0,84000000.0
Interest Income,62000000.0,80000000.0,51000000.0,9000000.0
Normalized Income,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Net Income From Continuing And Discontinued Operation,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Total Expenses,5469000000.0,5022000000.0,5483000000.0,5230000000.0
Total Operating Income As Reported,1479000000.0,1488000000.0,1350000000.0,1618000000.0
Diluted Average Shares,285000000.0,291000000.0,296000000.0,300000000.0
Basic Average Shares,284000000.0,290000000.0,294000000.0,299000000.0
Diluted EPS,4.57,4.43,4.19,4.18
Basic EPS,4.59,4.44,4.22,4.19
Diluted NI Availto Com Stockholders,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Net Income Common Stockholders,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Net Income,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Net Income Including Noncontrolling Interests,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Net Income Continuous Operations,1303000000.0,1289000000.0,1240000000.0,1254000000.0
Tax Provision,132000000.0,232000000.0,99000000.0,250000000.0
Pretax Income,1435000000.0,1521000000.0,1339000000.0,1504000000.0
Other Income Expense,6000000.0,49000000.0,33000000.0,-39000000.0
Other Non Operating Income Expenses,6000000.0,49000000.0,33000000.0,-39000000.0
Net Non Operating Interest Income Expense,-50000000.0,-16000000.0,-44000000.0,-75000000.0
Interest Expense Non Operating,112000000.0,96000000.0,95000000.0,84000000.0
Interest Income Non Operating,62000000.0,80000000.0,51000000.0,9000000.0
Operating Income,1479000000.0,1488000000.0,1350000000.0,1618000000.0
Operating Expense,2164000000.0,2047000000.0,2115000000.0,2104000000.0
Research And Development,455000000.0,479000000.0,481000000.0,467000000.0
Selling General And Administration,1709000000.0,1568000000.0,1634000000.0,1637000000.0
Gross Profit,3643000000.0,3535000000.0,3465000000.0,3722000000.0
Cost Of Revenue,3305000000.0,2975000000.0,3368000000.0,3126000000.0
Total Revenue,6948000000.0,6510000000.0,6833000000.0,6848000000.0
Operating Revenue,6948000000.0,6510000000.0,6833000000.0,6848000000.0
