,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,130000000.0,30000000.0,146000000.0,-52000000.0,208000000.0,
Repayment Of Debt,0.0,-500000000.0,-2397000000.0,-16000000.0,-56000000.0,
Issuance Of Debt,,,0.0,0.0,,
Capital Expenditure,-188000000.0,-134000000.0,-95000000.0,-179000000.0,-160000000.0,
Interest Paid Supplemental Data,54000000.0,45000000.0,93000000.0,37000000.0,92000000.0,
Income Tax Paid Supplemental Data,67000000.0,123000000.0,53000000.0,86000000.0,122000000.0,
End Cash Position,590000000.0,621000000.0,816000000.0,650000000.0,471000000.0,
Beginning Cash Position,621000000.0,816000000.0,650000000.0,471000000.0,569000000.0,
Effect Of Exchange Rate Changes,8000000.0,-7000000.0,50000000.0,40000000.0,-44000000.0,
Changes In Cash,-39000000.0,-188000000.0,116000000.0,139000000.0,-54000000.0,
Financing Cash Flow,-200000000.0,-237000000.0,-2823000000.0,169000000.0,-162000000.0,
Cash Flow From Continuing Financing Activities,-200000000.0,-237000000.0,-2823000000.0,169000000.0,-162000000.0,
Net Other Financing Charges,-3000000.0,-5000000.0,-32000000.0,-5000000.0,-3000000.0,
Cash Dividends Paid,-103000000.0,-102000000.0,-102000000.0,-102000000.0,-103000000.0,
Common Stock Dividend Paid,-103000000.0,-102000000.0,-102000000.0,-102000000.0,-103000000.0,
Net Issuance Payments Of Debt,-56000000.0,-130000000.0,-2689000000.0,276000000.0,-56000000.0,
Net Short Term Debt Issuance,-56000000.0,370000000.0,-292000000.0,292000000.0,0.0,
Net Long Term Debt Issuance,0.0,-500000000.0,-2397000000.0,-16000000.0,-56000000.0,
Long Term Debt Payments,0.0,-500000000.0,-2397000000.0,-16000000.0,-56000000.0,
Long Term Debt Issuance,,,,0.0,,
Investing Cash Flow,-157000000.0,-115000000.0,2698000000.0,-157000000.0,-260000000.0,
Cash Flow From Continuing Investing Activities,-157000000.0,-115000000.0,2698000000.0,-157000000.0,-260000000.0,
Net Other Investing Changes,,,,,3000000.0,2000000.0
Net Investment Purchase And Sale,-26000000.0,19000000.0,90000000.0,22000000.0,,
Sale Of Investment,-26000000.0,19000000.0,90000000.0,22000000.0,,
Net Business Purchase And Sale,36000000.0,0.0,2703000000.0,0.0,-1000000.0,
Sale Of Business,36000000.0,0.0,2707000000.0,0.0,-1000000.0,
Purchase Of Business,0.0,0.0,,,,
Net Intangibles Purchase And Sale,0.0,,,,0.0,
Purchase Of Intangibles,0.0,,,,0.0,
Net PPE Purchase And Sale,-188000000.0,-132000000.0,-95000000.0,-179000000.0,-160000000.0,
Purchase Of PPE,-188000000.0,-132000000.0,-95000000.0,-179000000.0,-160000000.0,
Operating Cash Flow,318000000.0,164000000.0,241000000.0,127000000.0,368000000.0,
Cash Flow From Continuing Operating Activities,318000000.0,164000000.0,241000000.0,127000000.0,368000000.0,
Change In Working Capital,106000000.0,-196000000.0,-133000000.0,-198000000.0,181000000.0,
Change In Other Working Capital,-24000000.0,-53000000.0,-280000000.0,102000000.0,144000000.0,
Change In Payables And Accrued Expense,-85000000.0,-49000000.0,169000000.0,-92000000.0,9000000.0,
Change In Accrued Expense,,,,-246000000.0,,
Change In Payable,-85000000.0,-49000000.0,-77000000.0,154000000.0,9000000.0,
Change In Account Payable,-85000000.0,-49000000.0,-77000000.0,154000000.0,74000000.0,
Change In Inventory,88000000.0,-5000000.0,-32000000.0,-92000000.0,-31000000.0,
Change In Receivables,127000000.0,-89000000.0,10000000.0,-116000000.0,59000000.0,
Changes In Account Receivables,,,10000000.0,-116000000.0,,17000000.0
Other Non Cash Items,-9000000.0,-11000000.0,-4000000.0,-5000000.0,-12000000.0,
Stock Based Compensation,16000000.0,21000000.0,32000000.0,19000000.0,18000000.0,
Asset Impairment Charge,0.0,0.0,0.0,1153000000.0,0.0,
Deferred Tax,-57000000.0,-50000000.0,-102000000.0,-61000000.0,-176000000.0,
Deferred Income Tax,-57000000.0,-50000000.0,-102000000.0,-61000000.0,-176000000.0,
Depreciation Amortization Depletion,237000000.0,247000000.0,242000000.0,236000000.0,243000000.0,
Depreciation And Amortization,237000000.0,247000000.0,242000000.0,236000000.0,243000000.0,
Amortization Cash Flow,277000000.0,,,143000000.0,,
Amortization Of Intangibles,277000000.0,,,143000000.0,,
Depreciation,-40000000.0,,,93000000.0,,
Operating Gains Losses,-6000000.0,138000000.0,,,160000000.0,21000000.0
Gain Loss On Sale Of Business,-2000000.0,30000000.0,,,2000000.0,20000000.0
Net Income From Continuing Operations,31000000.0,15000000.0,612000000.0,-1017000000.0,-46000000.0,
