,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,1989000000.0,1732000000.0,1538000000.0,1554000000.0
Repurchase Of Capital Stock,-616000000.0,-145000000.0,-269000000.0,-633000000.0
Repayment Of Debt,-826000000.0,-812000000.0,-631000000.0,-1097000000.0
Issuance Of Debt,0.0,0.0,5608000000.0,541000000.0
Capital Expenditure,-266000000.0,-207000000.0,-158000000.0,-152000000.0
Interest Paid Supplemental Data,354000000.0,405000000.0,177000000.0,116000000.0
Income Tax Paid Supplemental Data,373000000.0,358000000.0,254000000.0,274000000.0
End Cash Position,3934000000.0,5006000000.0,7118000000.0,6994000000.0
Beginning Cash Position,5006000000.0,7118000000.0,6994000000.0,5496000000.0
Effect Of Exchange Rate Changes,726000000.0,-537000000.0,202000000.0,-1293000000.0
Changes In Cash,-1798000000.0,-1575000000.0,-78000000.0,2791000000.0
Financing Cash Flow,-2953000000.0,-2561000000.0,4220000000.0,1036000000.0
Cash Flow From Continuing Financing Activities,-2953000000.0,-2561000000.0,4220000000.0,1036000000.0
Net Other Financing Charges,-841000000.0,-1003000000.0,25000000.0,2448000000.0
Proceeds From Stock Option Exercised,-69000000.0,-60000000.0,-72000000.0,-78000000.0
Cash Dividends Paid,-601000000.0,-541000000.0,-441000000.0,-383000000.0
Common Stock Dividend Paid,-601000000.0,-541000000.0,-441000000.0,-383000000.0
Net Common Stock Issuance,-616000000.0,-145000000.0,-269000000.0,-633000000.0
Common Stock Payments,-616000000.0,-145000000.0,-269000000.0,-633000000.0
Net Issuance Payments Of Debt,-826000000.0,-812000000.0,4977000000.0,-318000000.0
Net Short Term Debt Issuance,0.0,-291000000.0,-371000000.0,238000000.0
Short Term Debt Payments,0.0,-291000000.0,-371000000.0,
Net Long Term Debt Issuance,-826000000.0,-521000000.0,5348000000.0,-556000000.0
Long Term Debt Payments,-826000000.0,-521000000.0,-260000000.0,-1097000000.0
Long Term Debt Issuance,0.0,0.0,5608000000.0,541000000.0
Investing Cash Flow,-1100000000.0,-953000000.0,-5994000000.0,49000000.0
Cash Flow From Continuing Investing Activities,-1100000000.0,-953000000.0,-5994000000.0,49000000.0
Net Other Investing Changes,-1158000000.0,-739000000.0,-77000000.0,244000000.0
Net Investment Purchase And Sale,184000000.0,-7000000.0,7000000.0,-2000000.0
Sale Of Investment,427000000.0,199000000.0,719000000.0,320000000.0
Purchase Of Investment,-243000000.0,-206000000.0,-712000000.0,-322000000.0
Net Business Purchase And Sale,140000000.0,0.0,-5766000000.0,-41000000.0
Sale Of Business,140000000.0,0.0,0.0,0.0
Purchase Of Business,0.0,0.0,-5766000000.0,-41000000.0
Net PPE Purchase And Sale,-266000000.0,-207000000.0,-158000000.0,-152000000.0
Purchase Of PPE,-266000000.0,-207000000.0,-158000000.0,-152000000.0
Operating Cash Flow,2255000000.0,1939000000.0,1696000000.0,1706000000.0
Cash Flow From Continuing Operating Activities,2255000000.0,1939000000.0,1696000000.0,1706000000.0
Change In Working Capital,-235000000.0,46000000.0,39000000.0,168000000.0
Change In Other Working Capital,69000000.0,67000000.0,88000000.0,16000000.0
Change In Other Current Liabilities,1000000.0,13000000.0,-63000000.0,-45000000.0
Change In Other Current Assets,-96000000.0,-50000000.0,9000000.0,98000000.0
Change In Payables And Accrued Expense,-300000000.0,209000000.0,2000000.0,200000000.0
Change In Accrued Expense,25000000.0,34000000.0,13000000.0,0.0
Change In Payable,-325000000.0,175000000.0,-11000000.0,200000000.0
Change In Account Payable,-6000000.0,-60000000.0,149000000.0,19000000.0
Change In Receivables,91000000.0,-193000000.0,3000000.0,-101000000.0
Other Non Cash Items,22000000.0,104000000.0,42000000.0,28000000.0
Stock Based Compensation,165000000.0,141000000.0,122000000.0,106000000.0
Asset Impairment Charge,0.0,0.0,13000000.0,0.0
Deferred Tax,48000000.0,-67000000.0,68000000.0,38000000.0
Deferred Income Tax,48000000.0,-67000000.0,68000000.0,38000000.0
Depreciation Amortization Depletion,632000000.0,613000000.0,323000000.0,258000000.0
Depreciation And Amortization,632000000.0,613000000.0,323000000.0,258000000.0
Operating Gains Losses,-164000000.0,-13000000.0,32000000.0,-15000000.0
Earnings Losses From Equity Investments,-83000000.0,-16000000.0,7000000.0,-31000000.0
Gain Loss On Sale Of Business,-86000000.0,0.0,0.0,0.0
Net Income From Continuing Operations,1787000000.0,1115000000.0,1057000000.0,1123000000.0
